20221010	16:53:29	633296dc-2e8b-486b-b1b6-6e117506a4e9	GET	undefined	/css/style.css
20221010	16:53:43	f69b912f-6deb-488d-a6eb-f9417d576a35	GET	undefined	/employees
20221010	16:53:50	c26ad68f-7ac7-4fdc-8dca-d132d23cf579	GET	undefined	/employees
20221010	16:55:28	8c61c31e-7b0f-4c6c-9e42-48146638e4e4	POST	undefined	/employees
20221010	16:56:01	8cbba90f-9e0c-442e-ad6a-fbb5b2c128c0	POST	undefined	/employees
20221010	16:56:08	69f34568-e5fe-4ae0-a46b-e36ff24373c6	GET	undefined	/employees
20221010	16:56:11	1f8e33d7-9692-414c-a4ec-9c2c9fb42ca1	GET	undefined	/employees
20221010	16:56:12	0594e752-352e-48f9-a932-b3457352683b	GET	undefined	/employees
20221010	16:56:15	b4bd122f-8b84-41ed-85fd-bf2fe3bea2c3	GET	undefined	/employees
20221010	16:57:48	e6a62a40-7396-41f4-8aa2-156466a3f12b	PUT	undefined	/employees
20221010	16:57:59	b4eac093-94ce-4478-bf8f-d55928401709	PUT	undefined	/employees
20221010	16:58:18	c94cd666-addb-4eb7-a6ee-b228b98b6917	PUT	undefined	/employees
20221010	16:59:46	36b450e3-13cd-43c5-acb5-c8a7ba3d5f53	DELETE	undefined	/employees
20221010	17:00:28	dada7740-d6f4-4182-9335-3db78918c72c	GET	undefined	/employees/1
20221016	11:28:27	e63b9585-8d44-476d-8dfb-3e7c0e9d1c0a	GET	undefined	/
20221016	11:28:27	71365b90-d5e1-4c4f-a010-dba1fd548122	GET	undefined	/css/style.css
20221016	11:28:27	07b6dc98-f9ae-4fb2-8a69-3c58956a8ab2	GET	undefined	/favicon.ico
